(4124, 12700)
(4125, 12700)
(4125, 12701)
(4126, 12700)
(4126, 12701)
(4127, 12700)
(4127, 12701)
(4128, 12700)
(4128, 12701)
(4129, 12700)
(4129, 12701)
(4130, 12700)
(4130, 12701)
(4131, 12700)
(4131, 12701)
(4132, 12701)
(4133, 12700)
(4134, 12699)
(4135, 12698)
(4136, 12698)
(4136, 12697)
(4137, 12697)
(4138, 12696)
(4139, 12696)
(4140, 12697)
(4141, 12696)
(4141, 12697)
(4142, 12696)
(4142, 12697)
(4143, 12696)
(4143, 12695)
(4144, 12696)
(4145, 12696)
(4145, 12695)
(4146, 12694)
(4146, 12695)
(4147, 12694)
(4148, 12693)
(4148, 12692)
(4149, 12691)
(4148, 12690)
(4148, 12689)
(4147, 12688)
(4147, 12687)
(4147, 12686)
(4148, 12686)
(4149, 12686)
(4150, 12686)
(4150, 12685)
(4150, 12684)
(4149, 12683)
(4148, 12682)
(4147, 12681)
(4148, 12680)
(4149, 12679)
(4150, 12678)
(4150, 12677)
(4151, 12676)
(4152, 12676)
(4153, 12676)
(4154, 12676)
(4155, 12676)
(4155, 12675)
(4156, 12675)
(4157, 12675)
(4158, 12674)
(4159, 12673)
(4160, 12672)
(4161, 12671)
(4162, 12670)
(4163, 12669)
(4164, 12668)
(4164, 12667)
(4164, 12666)
(4165, 12666)
(4166, 12665)
(4166, 12664)
(4166, 12663)
(4166, 12662)
(4166, 12661)
(4166, 12660)
(4167, 12659)
(4168, 12660)
(4168, 12661)
(4169, 12662)
(4170, 12661)
(4170, 12660)
(4170, 12659)
(4170, 12658)
(4170, 12657)
(4170, 12656)
(4170, 12655)
(4170, 12654)
(4170, 12653)
(4171, 12653)
(4170, 12652)
(4169, 12651)
(4168, 12650)
(4168, 12649)
(4168, 12648)
(4168, 12647)
(4169, 12647)
(4170, 12647)
(4171, 12646)
(4172, 12646)
(4173, 12645)
(4173, 12644)
(4174, 12643)
(4174, 12642)
(4175, 12641)
(4176, 12640)
(4176, 12639)
(4175, 12638)
(4174, 12637)
(4175, 12636)
(4174, 12635)
(4175, 12634)
(4176, 12634)
(4177, 12633)
(4178, 12632)
(4179, 12631)
(4180, 12630)
(4179, 12630)
(4179, 12629)
(4179, 12628)
(4179, 12627)
(4178, 12627)
(4177, 12626)
(4178, 12626)
(4179, 12625)
(4179, 12624)
(4179, 12623)
(4180, 12622)
(4179, 12621)
(4179, 12620)
(4180, 12619)
(4180, 12620)
(4181, 12619)
(4181, 12620)
(4182, 12619)
(4182, 12620)
(4183, 12619)
(4184, 12618)
(4184, 12617)
(4184, 12616)
(4185, 12615)
(4185, 12614)
(4185, 12613)
(4184, 12612)
(4183, 12612)
(4182, 12611)
(4181, 12611)
(4180, 12611)
(4181, 12610)
(4181, 12609)
(4181, 12608)
(4180, 12608)
(4181, 12607)
(4181, 12606)
(4180, 12605)
(4179, 12604)
(4178, 12603)
(4177, 12603)
(4176, 12602)
(4176, 12601)
(4175, 12601)
(4174, 12600)
(4173, 12600)
(4172, 12600)
(4171, 12599)
(4170, 12598)
(4169, 12597)
(4168, 12596)
(4167, 12595)
(4166, 12594)
(4165, 12593)
(4165, 12592)
(4165, 12591)
(4166, 12592)
(4167, 12591)
(4168, 12591)
(4169, 12590)
(4169, 12589)
(4168, 12588)
(4168, 12587)
(4168, 12586)
(4167, 12585)
(4166, 12584)
(4167, 12583)
(4166, 12582)
(4166, 12581)
(4166, 12580)
(4165, 12579)
(4164, 12578)
(4163, 12577)
(4163, 12576)
(4163, 12575)
(4162, 12574)
(4161, 12573)
(4161, 12572)
(4160, 12571)
(4160, 12570)
(4160, 12569)
(4159, 12568)
(4158, 12568)
(4157, 12567)
(4156, 12566)
(4155, 12566)
(4154, 12565)
(4153, 12565)
(4152, 12564)
(4151, 12563)
(4150, 12562)
(4149, 12561)
(4148, 12560)
(4147, 12559)
(4147, 12558)
(4148, 12558)
(4148, 12557)
(4149, 12557)
(4150, 12556)
(4150, 12555)
(4149, 12554)
(4148, 12553)
(4147, 12552)
(4146, 12551)
(4145, 12550)
(4145, 12549)
(4145, 12548)
(4144, 12547)
(4145, 12546)
(4145, 12545)
(4144, 12544)
(4143, 12543)
(4142, 12542)
(4141, 12541)
(4141, 12540)
(4141, 12539)
(4140, 12538)
(4139, 12537)
(4139, 12536)
(4138, 12535)
(4137, 12534)
(4136, 12534)
(4135, 12534)
(4134, 12533)
(4135, 12532)
(4134, 12532)
(4135, 12531)
(4135, 12530)
(4135, 12529)
(4135, 12528)
(4135, 12527)
(4134, 12526)
(4133, 12526)
(4132, 12525)
(4131, 12525)
(4130, 12524)
(4129, 12523)
(4128, 12523)
(4127, 12522)
(4126, 12521)
(4125, 12521)
(4124, 12520)
(4123, 12520)
(4123, 12519)
(4123, 12518)
(4122, 12517)
(4121, 12516)
(4120, 12516)
(4119, 12515)
(4118, 12514)
(4117, 12513)
(4116, 12512)
(4115, 12513)
(4114, 12513)
(4113, 12512)
(4112, 12513)
(4111, 12514)
(4110, 12514)
(4109, 12515)
(4108, 12516)
(4107, 12515)
(4106, 12516)
(4106, 12517)
(4105, 12517)
(4104, 12516)
(4103, 12515)
(4102, 12516)
(4101, 12517)
(4100, 12516)
(4099, 12515)
(4098, 12514)
(4097, 12513)
(4096, 12512)
(4095, 12512)
(4094, 12511)
(4093, 12510)
(4094, 12509)
(4094, 12508)
(4094, 12507)
(4094, 12506)
(4094, 12505)
(4095, 12504)
(4094, 12503)
(4094, 12502)
(4093, 12501)
(4092, 12500)
(4092, 12499)
(4093, 12498)
(4093, 12497)
(4092, 12496)
(4091, 12495)
(4090, 12494)
(4089, 12493)
(4088, 12492)
(4088, 12491)
(4089, 12490)
(4089, 12491)
(4090, 12491)
(4091, 12490)
(4092, 12489)
(4091, 12489)
(4092, 12488)
(4091, 12488)
(4090, 12487)
(4091, 12487)
(4092, 12486)
(4091, 12485)
(4090, 12484)
(4089, 12483)
(4089, 12482)
(4089, 12481)
(4088, 12480)
(4087, 12479)
(4086, 12479)
(4085, 12478)
(4084, 12477)
(4083, 12476)
(4082, 12475)
(4081, 12474)
(4080, 12473)
(4081, 12472)
(4081, 12471)
(4082, 12470)
(4083, 12469)
(4084, 12468)
(4084, 12467)
(4084, 12466)
(4084, 12465)
(4083, 12464)
(4083, 12463)
(4082, 12463)
(4082, 12462)
(4081, 12461)
(4082, 12460)
(4081, 12459)
(4081, 12458)
(4080, 12457)
(4080, 12456)
(4079, 12455)
(4078, 12455)
(4077, 12454)
(4076, 12454)
(4075, 12453)
(4074, 12452)
(4073, 12451)
(4072, 12451)
(4071, 12451)
(4070, 12450)
(4069, 12449)
(4069, 12448)
(4069, 12447)
(4068, 12446)
(4067, 12446)
(4066, 12446)
(4065, 12445)
(4064, 12445)
(4063, 12444)
(4062, 12443)
(4062, 12442)
(4062, 12441)
(4063, 12440)
(4062, 12440)
(4063, 12439)
(4062, 12438)
(4062, 12437)
(4061, 12437)
(4062, 12436)
(4061, 12435)
(4060, 12434)
(4059, 12434)
(4058, 12434)
(4059, 12433)
(4059, 12432)
(4059, 12431)
(4058, 12430)
(4057, 12429)
(4056, 12429)
(4055, 12429)
(4054, 12429)
(4053, 12428)
(4052, 12427)
(4051, 12427)
(4050, 12427)
(4049, 12427)
(4048, 12428)
(4047, 12428)
(4047, 12429)
(4046, 12430)
(4045, 12430)
(4044, 12429)
(4043, 12428)
(4042, 12427)
(4041, 12427)
(4041, 12428)
(4040, 12429)
(4039, 12430)
(4038, 12430)
(4037, 12429)
(4036, 12428)
(4035, 12427)
(4036, 12426)
(4035, 12425)
(4036, 12424)
(4035, 12423)
(4035, 12422)
(4036, 12421)
(4036, 12420)
(4035, 12419)
(4034, 12418)
(4034, 12417)
(4034, 12416)
(4034, 12415)
(4034, 12414)
(4033, 12413)
(4032, 12413)
(4031, 12412)
(4030, 12411)
(4029, 12410)
(4029, 12409)
(4029, 12408)
(4029, 12407)
(4030, 12408)
(4030, 12407)
(4030, 12406)
(4031, 12407)
(4031, 12406)
(4031, 12405)
(4031, 12404)
(4032, 12403)
(4032, 12404)
(4033, 12403)
(4033, 12404)
(4034, 12403)
(4034, 12404)
(4035, 12403)
(4036, 12402)
(4036, 12401)
(4036, 12400)
(4035, 12399)
(4034, 12398)
(4033, 12397)
(4032, 12396)
(4032, 12395)
(4032, 12394)
(4033, 12395)
(4034, 12394)
(4034, 12393)
(4035, 12393)
(4036, 12392)
(4036, 12391)
(4035, 12391)
(4036, 12390)
(4036, 12389)
(4035, 12388)
(4034, 12388)
(4033, 12387)
(4032, 12388)
(4031, 12388)
(4030, 12387)
(4029, 12387)
(4028, 12386)
(4028, 12385)
(4027, 12384)
(4026, 12384)
(4027, 12383)
(4026, 12382)
(4025, 12381)
(4024, 12380)
(4023, 12379)
(4022, 12378)
(4021, 12377)
(4020, 12376)
(4020, 12375)
(4021, 12374)
(4021, 12373)
(4020, 12372)
(4019, 12371)
(4018, 12370)
(4017, 12370)
(4016, 12369)
(4016, 12368)
(4016, 12367)
(4015, 12366)
(4015, 12365)
(4014, 12365)
(4015, 12364)
(4014, 12363)
(4013, 12362)
(4012, 12361)
(4011, 12360)
(4010, 12359)
(4009, 12358)
(4008, 12357)
(4007, 12356)
(4006, 12355)
(4005, 12355)
(4004, 12354)
(4004, 12353)
(4005, 12352)
(4005, 12351)
(4004, 12350)
(4003, 12349)
(4002, 12349)
(4001, 12349)
(4000, 12348)
(3999, 12349)
(3998, 12348)
(3997, 12348)
(3996, 12347)
(3995, 12346)
(3994, 12345)
(3993, 12344)
(3992, 12343)
(3991, 12342)
(3990, 12341)
(3989, 12340)
(3988, 12339)
(3987, 12339)
(3986, 12338)
(3985, 12338)
(3984, 12338)
(3983, 12338)
(3982, 12339)
(3981, 12339)
(3980, 12338)
(3979, 12337)
(3978, 12337)
(3979, 12336)
(3978, 12335)
(3977, 12334)
(3978, 12334)
(3979, 12333)
(3979, 12332)
(3979, 12331)
(3979, 12330)
(3979, 12329)
(3980, 12330)
(3980, 12329)
(3981, 12329)
(3982, 12328)
(3982, 12327)
(3981, 12326)
(3981, 12325)
(3980, 12324)
(3979, 12323)
(3978, 12322)
(3979, 12321)
(3978, 12320)
(3977, 12319)
(3976, 12318)
(3975, 12318)
(3974, 12317)
(3973, 12317)
(3972, 12316)
(3971, 12315)
(3970, 12314)
(3969, 12313)
(3968, 12312)
(3967, 12311)
(3966, 12310)
(3966, 12309)
(3967, 12308)
(3968, 12307)
(3967, 12307)
(3968, 12306)
(3967, 12305)
(3966, 12304)
(3965, 12303)
(3964, 12302)
(3963, 12301)
(3962, 12301)
(3961, 12302)
(3960, 12302)
(3959, 12302)
(3958, 12301)
(3957, 12300)
(3958, 12299)
(3957, 12298)
(3956, 12298)
(3955, 12297)
(3954, 12297)
(3953, 12297)
(3952, 12296)
(3951, 12295)
(3950, 12294)
(3949, 12294)
(3948, 12293)
(3947, 12292)
(3946, 12291)
(3945, 12290)
(3944, 12289)
(3943, 12288)
(3942, 12288)
(3941, 12287)
(3940, 12287)
(3939, 12286)
(3938, 12286)
(3937, 12286)
(3936, 12285)
(3935, 12285)
(3934, 12284)
(3933, 12283)
(3932, 12282)
(3931, 12281)
(3931, 12280)
(3931, 12279)
(3932, 12279)
(3933, 12278)
(3932, 12277)
(3931, 12276)
(3932, 12276)
(3933, 12275)
(3934, 12274)
(3933, 12273)
(3933, 12272)
(3934, 12272)
(3934, 12271)
(3935, 12271)
(3936, 12270)
(3937, 12269)
(3936, 12268)
(3935, 12267)
(3936, 12266)
(3936, 12265)
(3937, 12264)
(3937, 12265)
(3938, 12265)
(3939, 12266)
(3940, 12265)
(3940, 12264)
(3940, 12263)
(3940, 12262)
(3940, 12261)
(3940, 12260)
(3940, 12259)
(3939, 12258)
(3938, 12257)
(3937, 12256)
(3936, 12255)
(3936, 12254)
(3936, 12253)
(3936, 12252)
(3937, 12252)
(3938, 12251)
(3937, 12250)
(3936, 12250)
(3937, 12249)
(3936, 12248)
(3935, 12248)
(3935, 12247)
(3934, 12247)
(3934, 12246)
(3934, 12245)
(3934, 12244)
(3933, 12243)
(3932, 12242)
(3931, 12242)
(3930, 12241)
(3929, 12240)
(3928, 12239)
(3927, 12238)
(3926, 12237)
(3925, 12236)
(3924, 12236)
(3924, 12235)
(3924, 12234)
(3923, 12234)
(3922, 12234)
(3921, 12233)
(3922, 12232)
(3923, 12231)
(3923, 12230)
(3923, 12229)
(3924, 12228)
(3923, 12227)
(3922, 12226)
(3921, 12226)
(3920, 12225)
(3919, 12224)
(3918, 12223)
(3917, 12222)
(3918, 12221)
(3917, 12220)
(3917, 12219)
(3917, 12218)
(3918, 12217)
(3917, 12216)
(3916, 12215)
(3915, 12214)
(3914, 12213)
(3913, 12212)
(3912, 12211)
(3911, 12211)
(3910, 12212)
(3909, 12213)
(3908, 12212)
(3907, 12211)
(3906, 12210)
(3905, 12209)
(3904, 12208)
(3903, 12207)
(3902, 12208)
(3901, 12207)
(3900, 12206)
(3899, 12205)
(3898, 12204)
(3897, 12203)
(3896, 12202)
(3895, 12201)
(3894, 12201)
(3893, 12201)
(3892, 12200)
(3891, 12199)
(3890, 12198)
(3889, 12197)
(3888, 12196)
(3887, 12195)
(3886, 12195)
(3885, 12194)
(3884, 12195)
(3883, 12194)
(3882, 12194)
(3883, 12193)
(3882, 12192)
(3881, 12191)
(3880, 12190)
(3879, 12189)
(3878, 12188)
(3877, 12187)
(3876, 12186)
(3875, 12185)
(3874, 12184)
(3873, 12183)
(3872, 12182)
(3872, 12181)
(3871, 12180)
(3870, 12180)
(3869, 12179)
(3868, 12178)
(3867, 12177)
(3866, 12176)
(3865, 12175)
(3864, 12174)
(3863, 12173)
(3863, 12174)
(3862, 12175)
(3861, 12175)
(3860, 12174)
(3859, 12173)
(3859, 12172)
(3858, 12171)
(3857, 12171)
(3856, 12171)
(3855, 12170)
(3854, 12169)
(3853, 12169)
(3852, 12169)
(3851, 12169)
(3850, 12168)
(3849, 12169)
(3848, 12168)
(3847, 12168)
(3848, 12167)
(3847, 12166)
(3846, 12165)
(3845, 12166)
(3844, 12165)
(3844, 12164)
(3844, 12163)
(3843, 12162)
(3842, 12162)
(3843, 12161)
(3843, 12160)
(3842, 12159)
(3841, 12158)
(3840, 12157)
(3839, 12158)
(3838, 12158)
(3837, 12157)
(3836, 12156)
(3835, 12155)
(3835, 12154)
(3834, 12153)
(3833, 12152)
(3833, 12151)
(3832, 12150)
(3831, 12151)
(3830, 12151)
(3829, 12150)
(3828, 12149)
(3827, 12148)
(3826, 12147)
(3825, 12146)
(3824, 12145)
(3823, 12144)
(3823, 12143)
(3822, 12142)
(3821, 12141)
(3822, 12141)
(3823, 12140)
(3824, 12139)
(3824, 12138)
(3823, 12137)
(3822, 12137)
(3821, 12136)
(3820, 12135)
(3819, 12134)
(3818, 12133)
(3817, 12132)
(3816, 12131)
(3815, 12130)
(3814, 12129)
(3813, 12128)
(3812, 12127)
(3811, 12126)
(3810, 12125)
(3809, 12125)
(3808, 12124)
(3807, 12123)
(3806, 12122)
(3805, 12121)
(3804, 12120)
(3803, 12119)
(3802, 12118)
(3801, 12117)
(3800, 12116)
(3799, 12115)
(3798, 12115)
(3797, 12115)
(3796, 12116)
(3795, 12115)
(3794, 12116)
(3793, 12117)
(3792, 12116)
(3791, 12115)
(3790, 12114)
(3789, 12113)
(3788, 12112)
(3787, 12112)
(3786, 12111)
(3786, 12110)
(3785, 12109)
(3784, 12108)
(3783, 12108)
(3782, 12108)
(3781, 12107)
(3780, 12106)
(3780, 12105)
(3779, 12104)
(3778, 12104)
(3777, 12103)
(3776, 12102)
(3775, 12101)
(3774, 12101)
(3773, 12101)
(3772, 12100)
(3771, 12099)
(3770, 12098)
(3769, 12099)
(3768, 12098)
(3768, 12097)
(3767, 12096)
(3766, 12095)
(3765, 12094)
(3764, 12093)
(3763, 12092)
(3762, 12091)
(3761, 12090)
(3760, 12089)
(3759, 12088)
(3758, 12087)
(3757, 12086)
(3756, 12086)
(3755, 12086)
(3754, 12085)
(3753, 12084)
(3752, 12083)
(3751, 12082)
(3750, 12082)
(3749, 12081)
(3748, 12081)
(3747, 12080)
(3746, 12079)
(3746, 12078)
(3745, 12077)
(3744, 12076)
(3744, 12075)
(3745, 12075)
(3744, 12074)
(3743, 12073)
(3742, 12072)
(3741, 12071)
(3740, 12070)
(3739, 12069)
(3738, 12068)
(3737, 12067)
(3738, 12066)
(3738, 12065)
(3739, 12064)
(3738, 12064)
(3739, 12063)
(3738, 12062)
(3737, 12061)
(3737, 12060)
(3736, 12059)
(3735, 12058)
(3735, 12057)
(3734, 12056)
(3733, 12055)
(3732, 12054)
(3731, 12053)
(3730, 12052)
(3729, 12051)
(3728, 12051)
(3727, 12050)
(3726, 12049)
(3725, 12048)
(3724, 12048)
(3725, 12047)
(3724, 12047)
(3723, 12046)
(3722, 12045)
(3721, 12044)
(3720, 12043)
(3719, 12043)
(3718, 12044)
(3717, 12045)
(3716, 12044)
(3715, 12043)
(3715, 12042)
(3714, 12041)
(3713, 12040)
(3712, 12039)
(3711, 12038)
(3710, 12037)
(3709, 12037)
(3708, 12036)
(3708, 12035)
(3707, 12034)
(3706, 12034)
(3705, 12034)
(3704, 12033)
(3703, 12032)
(3702, 12031)
(3701, 12030)
(3701, 12029)
(3701, 12028)
(3700, 12027)
(3699, 12026)
(3700, 12025)
(3700, 12024)
(3699, 12023)
(3698, 12022)
(3697, 12021)
(3696, 12020)
(3695, 12020)
(3694, 12019)
(3693, 12018)
(3692, 12017)
(3691, 12016)
(3690, 12015)
(3689, 12015)
(3688, 12015)
(3687, 12014)
(3686, 12013)
(3686, 12012)
(3687, 12011)
(3687, 12010)
(3687, 12009)
(3687, 12008)
(3686, 12007)
(3685, 12006)
(3684, 12005)
(3683, 12005)
(3682, 12004)
(3681, 12005)
(3680, 12004)
(3679, 12003)
(3678, 12002)
(3677, 12001)
(3676, 12000)
(3675, 11999)
(3675, 11998)
(3674, 11997)
(3673, 11996)
(3672, 11995)
(3671, 11994)
(3670, 11993)
(3669, 11992)
(3668, 11991)
(3667, 11991)
(3666, 11991)
(3665, 11990)
(3664, 11989)
(3663, 11989)
(3662, 11989)
(3661, 11988)
(3660, 11987)
(3659, 11986)
(3658, 11985)
(3657, 11985)
(3656, 11984)
(3655, 11983)
(3654, 11983)
(3653, 11982)
(3652, 11981)
(3651, 11980)
(3650, 11979)
(3649, 11978)
(3650, 11977)
(3649, 11976)
(3648, 11975)
(3647, 11974)
(3646, 11973)
(3645, 11972)
(3644, 11971)
(3643, 11970)
(3642, 11970)
(3641, 11970)
(3641, 11971)
(3640, 11972)
(3639, 11972)
(3638, 11971)
(3637, 11972)
(3636, 11973)
(3635, 11972)
(3634, 11971)
(3633, 11971)
(3632, 11970)
(3631, 11969)
(3630, 11968)
(3629, 11968)
(3628, 11967)
(3627, 11966)
(3626, 11965)
(3626, 11966)
(3625, 11967)
(3624, 11966)
(3623, 11967)
(3622, 11966)
(3621, 11965)
(3620, 11964)
(3619, 11963)
(3618, 11962)
(3617, 11962)
