(8343, 5485)
(8342, 5484)
(8341, 5484)
(8340, 5483)
(8339, 5482)
(8338, 5481)
(8337, 5481)
(8336, 5481)
(8335, 5480)
(8334, 5480)
(8333, 5479)
(8332, 5478)
(8331, 5477)
(8330, 5476)
(8329, 5475)
(8328, 5474)
(8327, 5473)
(8327, 5472)
(8327, 5471)
(8326, 5470)
(8326, 5469)
(8326, 5468)
(8327, 5468)
(8327, 5467)
(8326, 5466)
(8325, 5465)
(8324, 5464)
(8323, 5463)
(8322, 5462)
(8321, 5461)
(8320, 5460)
(8319, 5459)
(8320, 5458)
(8319, 5457)
(8318, 5456)
(8317, 5455)
(8316, 5454)
(8315, 5454)
(8314, 5453)
(8313, 5452)
(8312, 5451)
(8311, 5450)
(8310, 5449)
(8309, 5448)
(8308, 5447)
(8307, 5446)
(8306, 5445)
(8305, 5444)
(8304, 5443)
(8303, 5442)
(8302, 5442)
(8301, 5441)
(8300, 5441)
(8299, 5440)
(8298, 5440)
(8297, 5439)
(8296, 5438)
(8295, 5438)
(8294, 5437)
(8293, 5436)
(8292, 5435)
(8291, 5434)
(8290, 5433)
(8289, 5432)
(8288, 5431)
(8287, 5431)
(8286, 5430)
(8285, 5430)
(8284, 5429)
(8283, 5428)
(8282, 5427)
(8281, 5426)
(8280, 5425)
(8279, 5424)
(8278, 5423)
(8277, 5423)
(8278, 5422)
(8279, 5421)
(8278, 5421)
(8277, 5420)
(8277, 5419)
(8278, 5419)
(8277, 5418)
(8276, 5417)
(8276, 5416)
(8276, 5415)
(8276, 5414)
(8276, 5413)
(8276, 5412)
(8277, 5411)
(8277, 5412)
(8278, 5411)
(8279, 5410)
(8279, 5409)
(8280, 5408)
(8281, 5407)
(8281, 5406)
(8280, 5405)
(8280, 5404)
(8280, 5403)
(8280, 5402)
(8281, 5401)
(8281, 5400)
(8282, 5400)
(8281, 5399)
(8280, 5398)
(8279, 5397)
(8279, 5396)
(8278, 5396)
(8277, 5396)
(8276, 5395)
(8275, 5394)
(8274, 5393)
(8273, 5393)
(8272, 5393)
(8271, 5392)
(8270, 5391)
(8269, 5390)
(8268, 5389)
(8267, 5388)
(8266, 5387)
(8265, 5386)
(8264, 5385)
(8263, 5384)
(8263, 5383)
(8263, 5382)
(8263, 5381)
(8262, 5381)
(8261, 5380)
(8260, 5379)
(8259, 5378)
(8258, 5377)
(8257, 5376)
(8256, 5375)
(8255, 5374)
(8254, 5373)
(8253, 5372)
(8252, 5371)
(8251, 5372)
(8250, 5371)
(8249, 5370)
(8248, 5370)
(8247, 5369)
(8246, 5368)
(8245, 5367)
(8244, 5366)
(8243, 5365)
(8242, 5364)
(8241, 5363)
(8240, 5362)
(8239, 5361)
(8238, 5361)
(8237, 5360)
(8236, 5360)
(8235, 5359)
(8234, 5358)
(8233, 5357)
(8232, 5357)
(8231, 5357)
(8230, 5356)
(8229, 5356)
(8228, 5355)
(8227, 5354)
(8226, 5353)
(8225, 5354)
(8224, 5354)
(8223, 5353)
(8222, 5352)
(8221, 5351)
(8220, 5351)
(8219, 5351)
(8218, 5350)
(8217, 5349)
(8216, 5350)
(8215, 5351)
(8214, 5351)
(8213, 5351)
(8212, 5351)
(8211, 5351)
(8210, 5350)
(8209, 5350)
(8208, 5349)
(8207, 5348)
(8206, 5347)
(8205, 5346)
(8204, 5345)
(8203, 5344)
(8202, 5343)
(8201, 5343)
(8200, 5342)
(8199, 5341)
(8198, 5340)
(8197, 5339)
(8196, 5338)
(8195, 5339)
(8194, 5338)
(8193, 5337)
(8192, 5336)
(8191, 5336)
(8190, 5337)
(8189, 5337)
(8188, 5336)
(8187, 5335)
(8186, 5334)
(8185, 5333)
(8184, 5332)
(8183, 5331)
(8182, 5330)
(8181, 5329)
(8180, 5328)
(8179, 5327)
(8178, 5326)
(8177, 5326)
(8176, 5326)
(8175, 5325)
(8174, 5324)
(8173, 5323)
(8172, 5323)
(8171, 5322)
(8170, 5323)
(8169, 5323)
(8168, 5322)
(8168, 5323)
(8167, 5323)
(8167, 5324)
(8166, 5324)
(8165, 5324)
(8164, 5323)
(8163, 5322)
(8162, 5323)
(8161, 5323)
(8160, 5323)
(8159, 5324)
(8158, 5323)
(8157, 5324)
(8156, 5324)
(8155, 5325)
(8154, 5325)
(8153, 5326)
(8152, 5325)
(8151, 5324)
(8150, 5323)
(8149, 5322)
(8148, 5321)
(8147, 5320)
(8146, 5319)
(8145, 5318)
(8144, 5317)
(8143, 5317)
(8142, 5317)
(8141, 5317)
(8140, 5318)
(8139, 5319)
(8138, 5319)
(8137, 5319)
(8136, 5318)
(8135, 5318)
(8134, 5317)
(8133, 5316)
(8132, 5315)
(8131, 5315)
(8130, 5314)
(8129, 5313)
(8128, 5312)
(8127, 5311)
(8126, 5311)
(8125, 5310)
(8124, 5309)
(8123, 5308)
(8122, 5307)
(8121, 5307)
(8120, 5307)
(8119, 5306)
(8118, 5305)
(8117, 5304)
(8116, 5303)
(8116, 5302)
(8116, 5301)
(8115, 5300)
(8114, 5299)
(8113, 5298)
(8112, 5297)
(8111, 5296)
(8110, 5295)
(8109, 5294)
(8108, 5293)
(8107, 5292)
(8106, 5292)
(8107, 5291)
(8106, 5290)
(8105, 5289)
(8104, 5289)
(8103, 5288)
(8102, 5287)
(8101, 5286)
(8100, 5285)
(8099, 5284)
(8098, 5283)
(8097, 5282)
(8096, 5282)
(8095, 5281)
(8094, 5281)
(8093, 5280)
(8092, 5279)
(8091, 5278)
(8090, 5278)
(8089, 5277)
(8088, 5276)
(8087, 5275)
(8086, 5274)
(8085, 5273)
(8084, 5272)
(8083, 5271)
(8082, 5271)
(8081, 5270)
(8080, 5269)
(8079, 5268)
(8078, 5267)
(8077, 5266)
(8076, 5265)
(8075, 5264)
(8074, 5263)
(8073, 5262)
(8072, 5261)
(8071, 5260)
(8070, 5259)
(8069, 5258)
(8068, 5257)
(8067, 5256)
(8066, 5255)
(8065, 5255)
(8064, 5255)
(8063, 5256)
(8062, 5255)
(8061, 5255)
(8060, 5254)
(8059, 5255)
(8058, 5255)
(8057, 5255)
(8056, 5256)
(8055, 5255)
(8054, 5255)
(8053, 5256)
(8054, 5256)
(8054, 5257)
(8053, 5257)
(8052, 5257)
(8051, 5258)
(8050, 5258)
(8049, 5258)
(8048, 5258)
